task_id,task_label,model_id,model_label,seed,auroc,ece,brier,rc_mean_abs_delta,mono_positive_prob_drop,dinuc_positive_prob_drop,motif_positive_prob_drop,shortcut_conflict_accuracy,rule_following_rate,shortcut_following_rate
gc_correlated,GC correlated,kmer_logistic_regression,6-mer logistic regression,2026,1.0,0.0002861005407544055,6.904795577952414e-07,4.5603995676036374e-05,0.0003965489745798578,0.0003806675616535582,0.0003598318935633671,1.0,1.0,1.0
gc_correlated,GC correlated,small_cnn,CNN,2026,1.0,0.000262674139754381,7.016538228264646e-05,0.000898909114766866,0.0,0.0,0.0,1.0,1.0,1.0
gc_correlated,GC correlated,small_cnn_rc_aug,RC-aug CNN,2026,1.0,3.661777478458639e-12,6.397566343827192e-17,2.416408462213582e-10,0.0,0.0004673004150390625,0.0,1.0,1.0,1.0
gc_correlated,GC correlated,dnabert2,DNABERT-2,2026,1.0,0.00401485411990486,4.1940706097349435e-05,0.002120301308770507,0.0006604054950042348,0.0006249029950927687,0.0006595493966425892,1.0,1.0,1.0
gc_correlated,GC correlated,caduceus_ph,Caduceus-Ph,2026,1.0,0.004292359242136909,3.820794641513268e-05,0.0004643866010889386,-5.814492206224209e-05,-0.0001497023613242776,0.00036486204808794387,1.0,1.0,1.0
gc_matched,GC matched,kmer_logistic_regression,6-mer logistic regression,2026,1.0,0.005267220143268637,7.855317644700277e-05,0.002977033276329656,0.9463044927016124,0.9268790923113448,0.6748301988936416,1.0,1.0,0.5
gc_matched,GC matched,small_cnn,CNN,2026,1.0,0.09481079208757727,0.05250632199493741,0.08173899352550507,0.7719886302947998,0.7310795783996582,0.5140324831008911,0.92,0.92,0.42
gc_matched,GC matched,small_cnn_rc_aug,RC-aug CNN,2026,1.0,0.002953177816234529,0.0006363826922614411,0.002608999377116561,0.9510383605957031,0.9327081441879272,0.6753726005554199,0.9995,0.9995,0.4995
gc_matched,GC matched,dnabert2,DNABERT-2,2026,0.8475489999999999,0.08576840298245854,0.1660730276588103,0.16484110592066087,0.2542740218081988,0.20709508662371084,0.16755473723107123,0.772,0.772,0.537
gc_matched,GC matched,caduceus_ph,Caduceus-Ph,2026,0.54909,0.007018305606204148,0.2481845965270243,0.03308615397471314,0.0028260883679942506,-0.0009465381026090292,0.0032910018539267227,0.5315,0.5315,0.5005
gc_conflict,GC shortcut conflict,kmer_logistic_regression,6-mer logistic regression,2026,0.0,0.9989586387917719,0.9979283773427093,0.00014429771640989342,0.0006507001377094891,0.0006468782023930368,0.0005787525102314104,0.0,0.0,1.0
gc_conflict,GC shortcut conflict,small_cnn,CNN,2026,0.0,0.9915423233853944,0.9911425555052983,0.00937693938612938,0.0008200649172067642,0.0016047749668359756,0.0007172934710979462,0.008,0.008,0.992
